Date : 2026-07-13 01:46:35
Directory : /home/admin/programming/C++/Korra/stegvideo
Total : 118 files,  61086 codes, 4772 comments, 3736 blanks, all 69594 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/admin/programming/C++/Korra/stegvideo/docs/includes.dot                                                  | Graphviz (DOT) |         16 |          0 |          1 |         17 |
| /home/admin/programming/C++/Korra/stegvideo/docs/map.svg                                                       | XML            |        510 |         97 |          1 |        608 |
| /home/admin/programming/C++/Korra/stegvideo/include/color.hpp                                                  | C++            |         14 |          0 |          5 |         19 |
| /home/admin/programming/C++/Korra/stegvideo/include/color_codec/codec_json.hpp                                 | C++            |          5 |          0 |          1 |          6 |
| /home/admin/programming/C++/Korra/stegvideo/include/color_codec/color_codec.hpp                                | C++            |         13 |          0 |          0 |         13 |
| /home/admin/programming/C++/Korra/stegvideo/include/color_codec/hsv_codec.hpp                                  | C++            |         14 |          0 |          2 |         16 |
| /home/admin/programming/C++/Korra/stegvideo/include/color_codec/palette_codec.hpp                              | C++            |         15 |          0 |          1 |         16 |
| /home/admin/programming/C++/Korra/stegvideo/include/color_codec/rgb_palette_codec.hpp                          | C++            |          7 |          0 |          1 |          8 |
| /home/admin/programming/C++/Korra/stegvideo/include/color_codec/ycbcr_palette_codec.hpp                        | C++            |          7 |          0 |          1 |          8 |
| /home/admin/programming/C++/Korra/stegvideo/include/encoder/compressor/compressor.hpp                          | C++            |          7 |          0 |          0 |          7 |
| /home/admin/programming/C++/Korra/stegvideo/include/encoder/compressor/none_compressor.hpp                     | C++            |          6 |          0 |          1 |          7 |
| /home/admin/programming/C++/Korra/stegvideo/include/encoder/corrector/corrector.hpp                            | C++            |          7 |          0 |          0 |          7 |
| /home/admin/programming/C++/Korra/stegvideo/include/encoder/corrector/none_recoverer.hpp                       | C++            |          6 |          0 |          1 |          7 |
| /home/admin/programming/C++/Korra/stegvideo/include/encoder/obfuscator/none_obfuscator.hpp                     | C++            |          6 |          0 |          1 |          7 |
| /home/admin/programming/C++/Korra/stegvideo/include/encoder/obfuscator/obfuscator.hpp                          | C++            |          7 |          0 |          0 |          7 |
| /home/admin/programming/C++/Korra/stegvideo/include/encoder/provider/basic_block/basic_block_container.hpp     | C++            |         32 |          0 |          7 |         39 |
| /home/admin/programming/C++/Korra/stegvideo/include/encoder/provider/basic_block/basic_block_pointer.hpp       | C++            |         46 |          2 |         12 |         60 |
| /home/admin/programming/C++/Korra/stegvideo/include/encoder/provider/basic_block/basic_block_pointer_proxy.hpp | C++            |         19 |          2 |          4 |         25 |
| /home/admin/programming/C++/Korra/stegvideo/include/encoder/provider/basic_block/bit_area.h                    | C++            |          5 |          0 |          0 |          5 |
| /home/admin/programming/C++/Korra/stegvideo/include/encoder/provider/basic_block/rect.h                        | C++            |         14 |          0 |          4 |         18 |
| /home/admin/programming/C++/Korra/stegvideo/include/encoder/provider/basic_block/rgb_index.h                   | C++            |         13 |          0 |          3 |         16 |
| /home/admin/programming/C++/Korra/stegvideo/include/encoder/provider/basic_block_config.hpp                    | C++            |         16 |          1 |          2 |         19 |
| /home/admin/programming/C++/Korra/stegvideo/include/encoder/provider/basic_provider.hpp                        | C++            |         21 |          0 |          2 |         23 |
| /home/admin/programming/C++/Korra/stegvideo/include/encoder/provider/len_reader/data_length_reader.hpp         | C++            |          7 |          0 |          0 |          7 |
| /home/admin/programming/C++/Korra/stegvideo/include/encoder/provider/len_reader/raw_ip_length_reader.hpp       | C++            |         17 |          0 |          2 |         19 |
| /home/admin/programming/C++/Korra/stegvideo/include/encoder/provider/provider.hpp                              | C++            |          7 |          0 |          0 |          7 |
| /home/admin/programming/C++/Korra/stegvideo/include/encoder/video_encoder.hpp                                  | C++            |         20 |          0 |          2 |         22 |
| /home/admin/programming/C++/Korra/stegvideo/include/json.hpp                                                   | C++            |     18,408 |      4,566 |      3,138 |     26,112 |
| /home/admin/programming/C++/Korra/stegvideo/include/math.h                                                     | C++            |          9 |          0 |          3 |         12 |
| /home/admin/programming/C++/Korra/stegvideo/include/status_error.hpp                                           | C++            |         12 |          0 |          0 |         12 |
| /home/admin/programming/C++/Korra/stegvideo/include/video_pipe/ffmpeg_rtmp/ffmpeg_rtmp_config.hpp              | C++            |          5 |          0 |          1 |          6 |
| /home/admin/programming/C++/Korra/stegvideo/include/video_pipe/ffmpeg_rtmp/ffmpeg_rtmp_pipe_in.hpp             | C++            |         13 |          0 |          1 |         14 |
| /home/admin/programming/C++/Korra/stegvideo/include/video_pipe/ffmpeg_rtmp/ffmpeg_rtmp_pipe_out.hpp            | C++            |         13 |          0 |          2 |         15 |
| /home/admin/programming/C++/Korra/stegvideo/include/video_pipe/video_pipe_config.hpp                           | C++            |          5 |          0 |          0 |          5 |
| /home/admin/programming/C++/Korra/stegvideo/include/video_pipe/video_pipe_in.hpp                               | C++            |          7 |          0 |          1 |          8 |
| /home/admin/programming/C++/Korra/stegvideo/include/video_pipe/video_pipe_out.hpp                              | C++            |          7 |          0 |          1 |          8 |
| /home/admin/programming/C++/Korra/stegvideo/include/video_socket.hpp                                           | C++            |          5 |          1 |          0 |          6 |
| /home/admin/programming/C++/Korra/stegvideo/src/color.cpp                                                      | C++            |        127 |          0 |         14 |        141 |
| /home/admin/programming/C++/Korra/stegvideo/src/color_codec/codec_json.cpp                                     | C++            |        116 |          0 |         15 |        131 |
| /home/admin/programming/C++/Korra/stegvideo/src/color_codec/color_codec.cpp                                    | C++            |         23 |          0 |          6 |         29 |
| /home/admin/programming/C++/Korra/stegvideo/src/color_codec/hsv_codec.cpp                                      | C++            |         93 |          0 |         10 |        103 |
| /home/admin/programming/C++/Korra/stegvideo/src/color_codec/palette_codec.cpp                                  | C++            |         36 |          0 |          6 |         42 |
| /home/admin/programming/C++/Korra/stegvideo/src/color_codec/rgb_palette_codec.cpp                              | C++            |          9 |          0 |          3 |         12 |
| /home/admin/programming/C++/Korra/stegvideo/src/color_codec/ycbcr_palette_codec.cpp                            | C++            |          7 |          0 |          1 |          8 |
| /home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/basic_block/basic_block_container.cpp         | C++            |        116 |          1 |         21 |        138 |
| /home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/basic_block/basic_block_pointer.cpp           | C++            |        109 |          0 |         23 |        132 |
| /home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/basic_block/basic_block_pointer_proxy.cpp     | C++            |         45 |          2 |          8 |         55 |
| /home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/basic_block/rect.c                            | C              |         13 |          0 |          3 |         16 |
| /home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/basic_block/rgb_index.c                       | C              |          7 |          0 |          2 |          9 |
| /home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/basic_block_config.cpp                        | C++            |          5 |          0 |          1 |          6 |
| /home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/basic_provider.cpp                            | C++            |         11 |          0 |          6 |         17 |
| /home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/len_reader/raw_ip_length_reader.cpp           | C++            |         38 |          0 |          6 |         44 |
| /home/admin/programming/C++/Korra/stegvideo/src/encoder/video_encoder.cpp                                      | C++            |         12 |          0 |          3 |         15 |
| /home/admin/programming/C++/Korra/stegvideo/src/main.c                                                         | C              |         51 |          0 |         14 |         65 |
| /home/admin/programming/C++/Korra/stegvideo/src/math.c                                                         | C              |         12 |          0 |          2 |         14 |
| /home/admin/programming/C++/Korra/stegvideo/src/video_pipe/ffmpeg_rtmp/ffmpeg_rtmp_pipe_in.cpp                 | C++            |         29 |          0 |          6 |         35 |
| /home/admin/programming/C++/Korra/stegvideo/src/video_pipe/ffmpeg_rtmp/ffmpeg_rtmp_pipe_out.cpp                | C++            |         31 |          0 |          5 |         36 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/data/color_codec/rgb_palette0.json                    | JSON           |         24 |          0 |          0 |         24 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/data/color_codec/rgb_palette1.json                    | JSON           |         40 |          0 |          0 |         40 |
