"filename", "language", "Makefile", "Python", "C++", "C", "Graphviz (DOT)", "Markdown", "XML", "MS SQL", "JSON", "comment", "blank", "total"
"/home/admin/programming/C++/Korra/stegvideo/include/video_pipe/ffmpeg_rtmp/ffmpeg_rtmp_pipe_out.hpp", "C++", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/home/admin/programming/C++/Korra/stegvideo/include/video_pipe/video_pipe_config.hpp", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/home/admin/programming/C++/Korra/stegvideo/include/video_pipe/video_pipe_in.hpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/admin/programming/C++/Korra/stegvideo/include/video_pipe/video_pipe_out.hpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/admin/programming/C++/Korra/stegvideo/include/video_socket.hpp", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 0, 6
"/home/admin/programming/C++/Korra/stegvideo/src/color.cpp", "C++", 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 14, 141
"/home/admin/programming/C++/Korra/stegvideo/src/color_codec/codec_json.cpp", "C++", 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 15, 131
"/home/admin/programming/C++/Korra/stegvideo/src/color_codec/color_codec.cpp", "C++", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 29
"/home/admin/programming/C++/Korra/stegvideo/src/color_codec/hsv_codec.cpp", "C++", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 10, 103
"/home/admin/programming/C++/Korra/stegvideo/src/color_codec/palette_codec.cpp", "C++", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 6, 42
"/home/admin/programming/C++/Korra/stegvideo/src/color_codec/rgb_palette_codec.cpp", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/home/admin/programming/C++/Korra/stegvideo/src/color_codec/ycbcr_palette_codec.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/basic_block/basic_block_container.cpp", "C++", 0, 0, 116, 0, 0, 0, 0, 0, 0, 1, 21, 138
"/home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/basic_block/basic_block_pointer.cpp", "C++", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 23, 132
"/home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/basic_block/basic_block_pointer_proxy.cpp", "C++", 0, 0, 45, 0, 0, 0, 0, 0, 0, 2, 8, 55
"/home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/basic_block/rect.c", "C", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"/home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/basic_block/rgb_index.c", "C", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"/home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/basic_block_config.cpp", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/basic_provider.cpp", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 6, 17
"/home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/len_reader/raw_ip_length_reader.cpp", "C++", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 6, 44
"/home/admin/programming/C++/Korra/stegvideo/src/encoder/video_encoder.cpp", "C++", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/home/admin/programming/C++/Korra/stegvideo/src/main.c", "C", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 14, 65
"/home/admin/programming/C++/Korra/stegvideo/src/math.c", "C", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"/home/admin/programming/C++/Korra/stegvideo/src/video_pipe/ffmpeg_rtmp/ffmpeg_rtmp_pipe_in.cpp", "C++", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 6, 35
"/home/admin/programming/C++/Korra/stegvideo/src/video_pipe/ffmpeg_rtmp/ffmpeg_rtmp_pipe_out.cpp", "C++", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 5, 36
"/home/admin/programming/C++/Korra/stegvideo/test/context/data/color_codec/rgb_palette0.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 24
